,GJD-2450000,flux,err,airmass,sky,dx,dy
65,8062.917367,0.996416,0.003906,1.3669,498.2,-0.653,-1.0190000000000001
66,8062.918003,0.996944,0.003886,1.3649,496.7,-1.868,-3.216
67,8062.918640000001,0.9964729999999999,0.0039,1.3629,498.1,-0.982,-1.517
68,8062.919265,0.997682,0.0039020000000000005,1.3612,493.3,-0.83,-0.43799999999999994
69,8062.919913,0.9945299999999999,0.0038929999999999998,1.3593,491.4,-1.5930000000000002,-2.386
70,8062.92055,0.990273,0.0038740000000000003,1.3576,493.0,-0.461,-0.8809999999999999
71,8062.921175,0.999682,0.003922,1.3558,496.6,-0.64,-1.102
72,8062.921811,1.001067,0.00394,1.3542,502.4,-1.55,-1.55
73,8062.922436,0.998664,0.003914,1.3524,505.7,-0.632,-2.301
74,8062.923073000001,0.9906860000000001,0.003914,1.3508,503.1,-1.46,-0.912
75,8062.9236980000005,0.999675,0.003953,1.3491,504.8,-1.683,-0.8170000000000001
76,8062.924334,0.9982530000000001,0.003947,1.3476,509.4,-1.683,-2.198
77,8062.924959,0.998734,0.0040420000000000005,1.3461,561.5,-0.449,-2.441
78,8062.925608,1.001428,0.004057,1.3444,592.8,-1.5919999999999999,-0.515
79,8062.926233,1.0009620000000001,0.003953,1.343,521.7,-1.4169999999999998,-3.11
80,8062.926869,0.9964,0.003944,1.3414,512.3,-0.44,-1.1079999999999999
81,8062.927494,1.000427,0.003959000000000001,1.34,512.5,-0.618,-0.87
82,8062.928119,0.999817,0.003954,1.3385,513.4,-1.5819999999999999,-1.925
83,8062.928744,0.991986,0.003942,1.3371,526.9,-1.3230000000000002,-3.196
84,8062.9293689999995,0.988066,0.003948,1.3358,525.2,-1.2570000000000001,-1.087
85,8062.929994,0.997532,0.003966,1.3343,521.7,-1.464,0.043
86,8062.930619,0.9966950000000001,0.003939,1.3331,514.1,-1.8090000000000002,-2.87
87,8062.931256,0.99215,0.0039380000000000005,1.3317,515.5,-0.7609999999999999,-1.672
88,8062.9318920000005,0.9931469999999999,0.003927,1.3304,513.5,-1.7930000000000001,-2.022
89,8062.932529000001,0.992517,0.003926,1.3291,511.9,-1.526,-1.5590000000000002
90,8062.933177,0.988268,0.003907,1.3279,511.4,-1.196,-1.1540000000000001
91,8062.933802,0.993772,0.0038880000000000004,1.3266,509.4,-1.4140000000000001,-2.0909999999999997
92,8062.934439,0.9933850000000001,0.003897,1.3255,509.4,-0.679,-1.27
93,8062.935075,0.996031,0.0039049999999999996,1.3243,510.1,-0.75,-0.42700000000000005
94,8062.9357,0.9919309999999999,0.003924,1.3232,508.4,-1.4480000000000002,-1.331
95,8062.936325,0.988725,0.0039,1.322,509.9,-1.2690000000000001,-2.616
96,8062.936962000001,0.9933120000000001,0.0039299999999999995,1.321,510.2,-1.3459999999999999,-1.795
97,8062.937587,0.996397,0.003934,1.3198,513.2,-1.246,-1.105
98,8062.938212000001,0.99397,0.003956,1.3188,522.7,-1.401,-1.236
99,8062.938848000001,0.9933790000000001,0.003945000000000001,1.3178,521.5,-1.6869999999999998,-1.004
100,8062.939473,0.9949709999999999,0.003934,1.3168,521.9,-1.015,-2.138
101,8062.94011,0.9954870000000001,0.003953,1.3158,522.0,-2.08,-1.426
102,8062.940734999999,0.9940040000000001,0.003925,1.3148,517.5,-1.393,-0.872
103,8062.94136,0.9975209999999999,0.003941,1.3139,510.3,-0.8170000000000001,-0.924
104,8062.942008,0.994993,0.003935,1.313,510.2,-1.3119999999999998,-2.245
105,8062.942633,1.001958,0.003927,1.3121,510.9,-1.146,-1.5530000000000002
106,8062.943270000001,0.998033,0.003934,1.3112,512.0,-1.357,-0.958
107,8062.943895,1.001377,0.003932,1.3104,513.3,-1.693,-2.274
108,8062.94452,0.9915860000000001,0.003913000000000001,1.3096,522.7,-0.914,-1.626
109,8062.945156000001,0.9904350000000001,0.003945000000000001,1.3088,560.5,-0.758,-0.889
110,8062.945781,0.996398,0.003932,1.308,517.7,0.326,-0.545
111,8062.946406,0.99872,0.003928,1.3073,513.8,-2.077,-2.826
112,8062.947031000001,0.995808,0.003896,1.3066,509.3,-1.662,-1.099
113,8062.947668000001,1.000275,0.00392,1.3059,512.7,-0.8,-1.3630000000000002
114,8062.948293,1.0000950000000002,0.0039369999999999995,1.3052,517.8,-1.42,-1.6640000000000001
115,8062.948929000001,0.995276,0.003946,1.3045,515.5,-1.254,-0.675
116,8062.949554000001,0.9985129999999999,0.003943,1.3039,518.4,-1.98,-1.104
117,8062.950191,0.9973870000000001,0.003961999999999999,1.3033,528.7,-1.8730000000000002,-1.308
118,8062.950816,0.9937,0.0039770000000000005,1.3027,528.2,-1.24,-1.389
119,8062.951440999999,1.001198,0.003995,1.3022,528.5,-1.9580000000000002,-2.565
120,8062.952078,1.004161,0.004013,1.3016,527.9,-1.133,-2.286
121,8062.952714,1.003534,0.003968,1.3011,524.6,-2.063,-0.748
122,8062.953339,1.008291,0.003975,1.3006,514.5,-1.777,-0.603
123,8062.953976000001,0.99959,0.0039369999999999995,1.3001,511.6,-1.8230000000000002,-1.551
124,8062.954601,1.000413,0.003918,1.2996,510.0,-0.887,-1.112
125,8062.955237,1.005411,0.0039380000000000005,1.2992,508.6,-1.6580000000000001,-0.9079999999999999
126,8062.955862000001,1.000858,0.003935,1.2988,506.6,-2.099,-2.175
127,8062.956487,0.994302,0.003915,1.2984,507.9,-0.7140000000000001,-2.1319999999999997
128,8062.957124,0.994431,0.0039109999999999995,1.298,516.2,-1.3519999999999999,-0.9790000000000001
129,8062.957748999999,0.993849,0.0039570000000000004,1.2977,521.6,-1.776,-1.101
130,8062.958374,0.993599,0.003929,1.2974,516.4,-1.459,-1.726
131,8062.95901,1.0007409999999999,0.003953,1.2971,514.3,-1.528,-1.193
132,8062.959634999999,1.0029290000000002,0.003948,1.2968,516.4,-0.8640000000000001,-0.932
133,8062.960272,0.998295,0.003961,1.2965,522.1,-2.187,-2.387
134,8062.960897,0.9963069999999999,0.003979,1.2963,528.1,-1.43,-1.705
135,8062.961534,0.9995790000000001,0.003999,1.2961,529.6,-1.858,-0.97
136,8062.962170000001,0.9978229999999999,0.003999,1.2959,529.0,-1.6769999999999998,-1.716
137,8062.962806999999,0.9954350000000001,0.003978,1.2957,533.0,-1.31,-1.615
138,8062.963432,0.995669,0.0040100000000000005,1.2956,537.4,-0.857,-1.238
139,8062.964068000001,0.9955860000000001,0.0039829999999999996,1.2955,535.2,-1.7069999999999999,-1.605
140,8062.964693000001,1.00254,0.003981,1.2954,533.4,-1.713,-1.475
141,8062.9653180000005,0.9987590000000001,0.003954999999999999,1.2953,531.0,-1.002,-1.874
142,8062.965943000001,0.99326,0.003972,1.2952,528.8,-1.168,-1.339
143,8062.966568000001,0.997301,0.0039829999999999996,1.2952,534.1,-1.749,-0.09300000000000001
144,8062.967193,0.994949,0.003987,1.2952,549.6,-2.224,-1.942
145,8062.967818000001,0.99611,0.003974,1.2952,546.1,-2.112,-2.62
146,8062.968454999999,0.9991059999999999,0.0039840000000000006,1.2952,535.1,-1.4240000000000002,-0.314
147,8062.96908,0.988475,0.003968,1.2952,531.3,-1.787,-1.2009999999999998
148,8062.9697049999995,0.99403,0.003939,1.2953,529.9,-2.0869999999999997,-2.551
149,8062.970340999999,0.998548,0.003967,1.2954,530.5,-1.575,-0.332
150,8062.970978,0.994232,0.003945000000000001,1.2955,535.5,-2.089,-0.9009999999999999
151,8062.971615,0.993993,0.003956,1.2956,536.9,-1.179,-1.98
152,8062.972240000001,1.00254,0.004,1.2958,543.8,-1.4169999999999998,-1.032
153,8062.972853,1.00177,0.004023,1.296,550.0,-2.066,-1.183
154,8062.973478,0.991408,0.004018,1.2961,551.7,-2.5669999999999997,-2.2
155,8062.974115000001,0.994452,0.003968,1.2964,542.3,-1.412,-1.984
156,8062.974740000001,0.9904620000000001,0.0039700000000000004,1.2966,539.8,-1.86,-1.196
157,8062.975376,0.992898,0.0039369999999999995,1.2969,537.3,-1.922,-0.987
158,8062.976001000001,0.99946,0.003967,1.2972,533.6,-1.92,-1.848
159,8062.976637999999,1.000254,0.00398,1.2975,528.2,-2.414,-2.8939999999999997
160,8062.977274,1.000275,0.003951,1.2978,527.1,-1.474,-1.63
161,8062.977911,1.00053,0.0039700000000000004,1.2982,528.4,-2.1069999999999998,-1.526
162,8062.978536,0.991708,0.003971,1.2985,532.4,-1.807,-1.376
163,8062.979172,1.00066,0.003989,1.2989,533.1,-2.217,-1.557
164,8062.979797,1.000348,0.003992,1.2993,537.4,-2.434,-2.057
165,8062.980422,0.9942709999999999,0.0039840000000000006,1.2998,539.9,-2.448,-1.8330000000000002
166,8062.981047,1.002035,0.003972,1.3002,534.8,-1.895,-0.877
167,8062.981684,0.9979020000000001,0.0039570000000000004,1.3007,529.6,-2.0180000000000002,-0.863
168,8062.982309,1.005773,0.003974,1.3012,527.6,-1.6440000000000001,-1.321
169,8062.982945999999,1.0015459999999998,0.003935,1.3017,526.7,-1.993,-0.912
170,8062.983571,0.9977739999999999,0.00394,1.3023,525.5,-2.209,-1.286
171,8062.9842069999995,1.0001870000000002,0.003927,1.3029,521.9,-2.202,-2.136
172,8062.984820999999,0.9986889999999999,0.003908,1.3035,519.9,-1.867,-1.2830000000000001
173,8062.985446,1.0019280000000002,0.0039369999999999995,1.3041,517.6,-1.745,-0.963
174,8062.986081999999,1.0,0.003935,1.3047,518.2,-2.121,-0.688
175,8062.9867189999995,0.998909,0.003932,1.3054,520.4,-2.104,-1.235
176,8062.987354999999,1.0046110000000001,0.003927,1.3061,525.8,-2.146,-1.62
178,8062.988617,1.001408,0.0039049999999999996,1.3075,515.0,-2.339,-1.425
179,8062.989242000001,1.007776,0.003914,1.3083,512.6,-2.155,-1.351
180,8062.989867,1.007976,0.003909,1.309,510.9,-2.077,-0.956
181,8062.990503,1.00738,0.003907,1.3098,519.3,-2.289,-1.605
182,8062.991128000001,1.001351,0.00392,1.3106,524.0,-1.64,-1.466
183,8062.991765000001,0.9985729999999999,0.003936,1.3115,530.9,-2.154,-1.466
184,8062.99239,0.9981129999999999,0.003942,1.3123,529.4,-2.2359999999999998,-2.331
185,8062.9930269999995,1.003619,0.003952000000000001,1.3133,527.9,-1.955,-0.146
186,8062.993651999999,1.001818,0.003932,1.3141,525.4,-2.352,-0.6990000000000001
187,8062.994277,1.00827,0.00396,1.3151,525.1,-1.814,-1.807
188,8062.9949129999995,1.0045540000000002,0.003968,1.316,526.5,-1.9880000000000002,-0.551
189,8062.99555,1.008175,0.003951,1.317,525.3,-2.4619999999999997,-0.618
190,8062.996186,1.001566,0.003915999999999999,1.3181,522.3,-2.426,-0.871
191,8062.9968,0.997668,0.00394,1.3191,520.1,-2.247,-1.115
192,8062.997436,1.003757,0.003935,1.3201,520.1,-2.148,-1.453
193,8062.998061,1.0001959999999999,0.003939,1.3212,520.7,-2.7739999999999996,-1.4480000000000002
194,8062.998698,1.000122,0.003927,1.3224,519.2,-1.966,-1.508
195,8062.999323,1.0022309999999999,0.003919,1.3235,516.3,-2.271,-1.6280000000000001
196,8062.999948000001,1.002042,0.003918,1.3245,514.2,-2.2030000000000003,-0.878
197,8063.000573,0.9963540000000001,0.003961999999999999,1.3258,541.4,-2.718,-1.219
198,8063.001209,1.001741,0.003991,1.3269,558.1,-2.344,-1.435
199,8063.001845999999,0.998001,0.003972,1.3281,546.5,-2.503,-2.009
200,8063.002471,1.002024,0.003945000000000001,1.3294,521.2,-2.418,-1.3969999999999998
201,8063.003108,1.003193,0.003936,1.3306,515.0,-2.226,-1.157
202,8063.003733,0.996683,0.0039020000000000005,1.332,510.9,-2.593,-1.8090000000000002
203,8063.004368999999,1.0014120000000002,0.003909,1.3333,514.6,-2.285,-0.934
204,8063.004983,1.0090059999999998,0.00395,1.3347,520.7,-2.3209999999999997,-0.63
205,8063.005619,1.00253,0.003946,1.336,525.7,-2.26,-0.5579999999999999
206,8063.006256000001,1.006302,0.003956,1.3375,522.1,-2.323,-2.006
207,8063.006881,1.0032219999999998,0.00392,1.3389,518.5,-1.676,-0.8909999999999999
208,8063.007517,1.0033159999999999,0.003912,1.3403,516.6,-2.668,-0.40700000000000003
209,8063.008142000001,0.999626,0.003908,1.3418,514.9,-2.96,-1.6780000000000002
210,8063.008767,1.002708,0.003928,1.3432,514.5,-2.202,-1.6869999999999998
211,8063.009392,0.9986139999999999,0.003909,1.3447,515.4,-2.5140000000000002,-0.48
212,8063.010029000001,1.003895,0.003964,1.3463,518.4,-2.877,-0.888
213,8063.010654000001,0.9981540000000001,0.003941,1.3479,518.0,-2.219,-2.045
214,8063.011279,1.0052590000000001,0.00396,1.3496,532.7,-2.638,-1.306
215,8063.011904000001,1.001806,0.0039770000000000005,1.3511,547.2,-2.555,-0.522
216,8063.012541,1.006966,0.003922999999999999,1.3527,512.2,-2.839,-2.282
217,8063.013166,0.995453,0.003901,1.3545,507.3,-2.267,-0.691
218,8063.0138019999995,1.0015020000000001,0.003921,1.3563,504.0,-2.8680000000000003,-0.903
219,8063.014426999999,1.001154,0.0038979999999999996,1.3579,501.6,-3.1289999999999996,-1.515
220,8063.015052,1.008497,0.003914,1.3596,502.0,-2.51,-1.01
221,8063.015689,0.99885,0.0038909999999999995,1.3615,500.8,-2.386,-1.485
222,8063.016314,1.00079,0.003906,1.3633,502.5,-2.2359999999999998,-0.981
223,8063.01695,0.999561,0.0039109999999999995,1.3652,507.4,-2.614,-0.6920000000000001
224,8063.017587,0.997915,0.0038909999999999995,1.367,508.0,-3.658,-0.318
225,8063.018212000001,0.9992340000000001,0.003908,1.369,504.4,-1.9680000000000002,-1.913
